population,price,income,employment,poverty,area
5012,430800,73341,64.6,472,1
3504,530100,112613,76.8,65,2
6604,320700,49090,70.3,1016,3
3123,423900,49083,66.6,421,4
4247,536000,91767,65.3,142,5
4047,489800,76205,58.7,533,6
1755,604900,78093,68.9,16,7
3226,492500,102934,64,76,8
1847,442400,65932,61,143,9
3542,595100,62009,56.6,382,10
2786,463500,82724,67.7,152,11
5114,426600,81776,63.4,286,12
6033,492200,79799,56.4,763,13
3249,771800,117105,68.2,213,14
6697,404700,76438,72.3,425,15
3573,412500,72459,63.6,82,16
5671,256200,52044,66.4,829,17
5395,421900,49711,63,572,18
4278,424000,70667,61.6,302,19
4697,340300,57577,65.9,531,20
4612,354900,48320,67.6,670,21
3628,97200,64003,60.1,559,22
4725,369700,63103,60.7,561,23
5783,381700,56338,71.5,438,24
3290,401500,68524,65.3,322,25
3268,304800,56557,62.5,603,26
2791,413200,47843,62.2,315,27
3070,372300,53673,66.8,357,28
3554,394800,49021,60.7,618,29
3402,366400,55208,61.4,258,30
4108,395100,37162,55.8,654,31
2100,255600,46070,68.9,377,32
4095,267000,59111,66.2,400,33
5250,391900,59621,66.3,468,34
3420,389700,51472,63,258,35
2031,291700,42351,72.7,305,36
2636,501600,92282,66.1,168,37
5912,482400,93600,64.2,159,38
4346,369100,88481,63.3,207,39
5822,441900,73722,59.9,470,40
3631,403600,69863,63,202,41
5562,332500,52338,69,711,42
3148,374100,65271,55.6,103,43
3202,355800,56733,70.7,315,44
5042,400800,74730,71.9,160,45
2672,272500,34104,55,395,46
3783,300000,49240,77.8,407,47
5020,529000,84008,65.3,178,48
5297,283200,64515,61.4,559,49
3200,665500,114669,62.2,53,50
4649,477300,62120,67.8,348,51
2127,651500,118320,67.4,30,52
3477,620700,96709,69.3,227,53
4333,888800,134630,62.9,53,54
3487,636200,121335,58.4,52,55
3620,535600,93679,65.1,156,56
4395,435800,48565,59.7,623,57
2701,496800,95835,67.8,202,58
3175,376400,70912,56,260,59
5379,372600,64727,62.9,626,60
2307,631600,137070,63.5,57,61
3772,650400,112251,65.7,194,62
3300,805100,148045,62.8,14,63
1870,659900,131377,63.7,30,64
5582,677500,115148,60.5,155,65
5579,902300,154145,65.1,269,66
2447,339800,64238,51.8,79,67
2756,437300,86563,67.6,116,68
3386,432900,87055,63.7,89,69
3712,384800,73887,63.1,107,70
4765,384100,62697,66.8,295,71
5210,446000,81847,64.5,331,72
3910,437100,68407,69.9,205,73
2975,421600,77528,65.9,114,74
4455,475300,84500,67,261,75
4313,477000,94724,64.1,351,76
3054,493100,94438,64.8,194,77
3191,495500,99009,61.2,77,78
5313,497100,86377,62.8,312,79
6083,733900,152223,64,231,80
3863,543300,88276,62.7,249,81
4652,616100,116587,60.4,163,82
7600,567100,65581,70.6,815,83
4762,580300,80353,62.6,460,84
8049,534300,72736,62.6,648,85
3861,660400,111862,49.1,154,86
2945,892700,143453,57.7,113,87
4085,467400,126032,67.7,119,88
3181,507600,94504,65.5,73,89
4552,462800,86476,68.4,250,90
2171,674500,98702,59.7,58,91
4132,672200,102878,67,108,92
6895,336400,50468,70.8,680,93
4742,250000,63773,64.2,662,94
1637,290200,78295,65.5,96,95
3847,711800,113766,63.9,171,96
2313,794900,130915,57.7,45,97
4299,489500,99566,65.2,94,98
5868,392400,65428,75.4,432,99
4152,595000,101646,64.9,190,100
5265,505400,76724,66.4,318,101
6571,386500,53409,73.4,920,102
6571,377400,71657,70.5,401,103
5252,786000,144930,59.8,64,104
2294,0,79247,45.4,52,105
3732,548000,57609,64.6,675,106
7023,638100,64736,64,1030,107
4969,500300,60264,70.4,704,108
3914,586200,78445,65,420,109
4007,559600,56444,71.5,577,110
5964,644400,75419,65.7,666,111
3536,494500,60400,65.7,433,112
2889,442000,64375,59.8,442,113
5124,395000,86682,70.7,342,114
2687,387700,73290,69.4,92,115
5052,521800,52832,60,843,116
2514,489800,107048,67.5,56,117
4154,481200,96126,71,132,118
5107,565200,95104,63.5,177,119
3603,479400,88667,70,128,120
4124,526300,85881,66.8,172,121
3801,275600,38291,65.4,845,122
3484,346300,34651,71,659,123
3269,246900,39604,77.5,726,124
3931,387500,42959,72.3,612,125
3633,343200,51781,68.3,722,126
5626,361400,50667,70.4,918,127
3849,463100,68353,67.6,174,128
6998,444500,65387,57.7,746,129
4064,401100,71002,67.1,196,130
4270,385700,67335,62.7,388,131
3803,305600,63795,68.4,268,132
4683,340000,52031,68.1,761,133
3981,312500,39804,73.1,687,134
2549,393400,53943,59.6,168,135
3511,272100,55356,70.1,518,136
5415,423600,79700,68.5,506,137
4562,487900,78741,62.2,445,138
6099,451900,76561,70.5,265,139
5051,404900,73807,66.1,185,140
2993,315700,58637,67.6,228,141
5231,483300,42149,66.9,1017,142
2930,0,36672,65.1,498,143
3497,603800,31623,69.5,716,144
2674,389700,45422,70.5,533,145
2991,447300,41293,60.8,433,146
4331,462500,42435,73,795,147
3742,409200,34280,65.6,955,148
4613,269000,41817,66,730,149
5439,380500,70505,70.1,223,150
6883,417900,50230,66.7,893,151
4989,407300,76881,66.1,435,152
3364,484200,60141,60.6,372,153
3039,392900,57666,72.6,370,154
2559,525700,88135,66.7,238,155
2858,349100,60290,54.5,306,156
2135,384100,65434,63.7,157,157
4537,468200,48023,64,584,158
2902,521600,96425,65.3,158,159
3761,316300,46847,75,523,160
3297,404200,66535,63.4,572,161
4210,400400,65067,65.9,246,162
5595,460300,67053,62,492,163
4956,391700,57768,68,352,164
3034,432100,55310,63.7,342,165
2118,390600,41586,63.8,303,166
4230,466500,57291,63.7,446,167
3679,176300,35302,66.8,632,168
5029,450300,52321,69.7,729,169
4713,374700,54925,69.1,671,170
3395,370300,62231,69.2,351,171
4587,374800,59377,71.8,252,172
4346,460600,56468,70,586,173
3839,319700,39518,70.4,423,174
3378,353800,47358,73.1,562,175
2914,440200,49664,65.9,387,176
2752,395500,42747,67.8,451,177
4553,386100,67612,70.7,309,178
3381,397600,56442,64.1,396,179
4711,489400,41115,55.9,514,180
4046,533500,47010,61.1,505,181
4449,393500,52886,71.4,610,182
4920,582300,61437,67.8,494,183
2725,531300,43376,62.2,435,184
5557,447600,61532,70.2,649,185
3412,618700,64339,69.5,484,186
4012,501600,59965,67.8,444,187
5212,605900,60213,68.9,731,188
4481,478800,59175,71.5,379,189
2622,572800,71787,75.5,314,190
4682,719900,121973,75.2,327,191
3748,580900,63270,76.4,439,192
2023,339300,49889,66.8,362,193
2778,479400,45414,73.1,445,194
2598,397400,50886,69.7,479,195
3474,464000,67440,72,156,196
2659,412100,49643,74,427,197
3230,447600,48222,73.6,601,198
3944,436900,56282,72.7,325,199
4100,604900,83993,67.2,472,200
3055,703700,85692,75.1,201,201
3319,780100,99222,74.9,166,202
4728,797900,88889,69.2,229,203
2903,471100,61831,63.8,141,204
3383,359300,52237,66,653,205
5438,643200,101787,80.7,368,206
3920,589000,71166,79,419,207
4303,564800,53944,69.2,641,208
5234,350000,57176,76.1,563,209
3685,454500,65529,81.2,490,210
3892,447700,86145,83,315,211
3195,589600,61885,83.4,312,212
3030,586500,65704,83.4,393,213
2655,771300,112137,67.2,144,214
5687,390500,46828,67.5,866,215
3054,85700,47336,72.9,480,216
4149,437400,60235,71.1,632,217
5478,449000,58413,67.3,651,218
5235,358300,45246,67,760,219
4581,374700,56932,73.4,627,220
6035,314800,46600,67.8,966,221
3941,231900,39181,75.1,704,222
3024,432900,53852,69.4,344,223
2922,539300,38927,59.7,503,224
3324,573000,52178,69.8,464,225
3738,489200,72548,70.7,362,226
3621,607800,82815,71.9,317,227
2729,546200,37291,63,569,228
3737,484400,59267,72,346,229
3788,429000,56834,71.4,499,230
4447,387300,64894,64.3,384,231
3540,550500,44729,71.3,612,232
5416,473900,45248,67.3,701,233
3616,462800,54557,72,521,234
3447,446500,80759,67.9,265,235
4505,590700,49749,70.9,754,236
5211,331300,37391,67.1,1104,237
2905,574900,63620,74.5,373,238
5119,242200,41680,69.1,1010,239
3531,123200,37840,67.6,721,240
4126,539800,72383,74.6,177,241
4263,523100,78795,73.8,469,242
4048,594000,53819,78.2,721,243
2885,695300,97120,74.9,154,244
5484,636400,92847,75.8,474,245
3355,458000,77238,77.4,336,246
4712,635300,85649,76.7,106,247
3580,692400,99792,76.9,138,248
6393,427100,50249,69.1,1016,249
5643,411700,61811,64.6,511,250
3610,525400,87296,70.7,170,251
